,TRACTID,cost,date
825,160602,17875,2015-08-14
826,151002,17875,2015-08-14
827,252202,17875,2015-08-14
828,251800,17875,2015-08-14
829,292400,17875,2015-08-14
830,290900,17875,2015-08-14
831,843400,17875,2015-08-14
832,843400,17875,2015-08-14
833,470100,17875,2015-08-14
834,834300,17875,2015-08-14
835,836000,17875,2015-08-14
836,231500,17875,2015-08-14
837,843200,2.1e+08,2015-08-14
838,839600,1.3e+07,2015-08-14
839,241100,707900,2015-08-16
840,730201,80000,2015-08-17
841,221400,120000,2015-08-17
842,839800,250000,2015-08-17
843,160900,350000,2015-08-17
844,071300,75000,2015-08-17
845,832600,580000,2015-08-17
846,840000,250000,NA
847,160700,3e+05,2015-08-17
848,221500,329100,2015-08-17
849,222200,17875,2015-08-17
850,839900,1e+05,NA
851,222200,528200,2015-08-17
852,222800,175000,2015-08-17
853,221300,17875,2015-08-17
854,061100,2e+06,2015-08-17
855,640400,17875,2015-08-17
856,320100,2500,2015-08-17
857,260500,17875,2015-08-17
858,231200,17875,2015-08-17
859,839900,540000,2015-08-18
860,063400,1500000,2015-08-18
861,051300,17875,2015-08-18
862,460700,17875,2015-08-18
863,210602,316400,2015-08-18
864,490700,17875,2015-08-18
865,830500,17875,2015-08-18
866,240800,17875,2015-08-18
867,071000,1e+06,2015-08-18
868,832500,659600,2015-08-18
869,980100,17875,2015-08-17
870,839500,150000,2015-08-19
871,842300,442100,2015-08-19
872,242900,17875,2015-08-19
873,242500,1335000,NA
874,841900,1000,2015-08-19
875,222700,17875,2015-08-19
876,062900,17875,2015-08-19
877,050500,17875,2015-08-19
878,242400,4800,2015-08-19
879,330100,50000,2015-08-19
880,740400,15000,2015-08-19
881,839100,17875,2015-08-20
882,839100,17875,2015-08-20
883,120100,17875,2015-08-20
884,062900,403650,2015-08-20
885,050200,2e+05,2015-08-20
886,830900,2e+05,2015-08-20
887,831900,350000,2015-08-20
888,020200,17875,2015-08-20
889,050900,450000,2015-08-20
890,242900,486000,2015-08-20
891,281900,6000,2015-08-20
892,836200,2000,2015-08-20
893,834600,17875,NA
894,081403,26481000,2015-08-18
895,660900,19000,2015-08-20
896,243500,277000,2015-08-19
897,842900,1e+05,2015-08-21
898,190200,350000,NA
899,070300,17875,2015-08-21
900,240800,249991,2015-08-21
901,210602,175000,2015-08-21
902,241500,17875,2015-08-21
903,050500,17875,2015-08-21
904,081800,17875,2015-08-21
905,081800,6.7e+07,2015-08-10
906,061100,40000,2015-08-21
907,830900,3500,2015-08-21
908,081202,10000,2015-08-21
909,081201,7000,2015-08-21
910,070300,654600,2015-08-24
911,070300,17875,2015-08-24
912,071100,4e+05,2015-08-24
913,231100,17875,2015-08-24
914,460700,17875,2015-08-24
915,839700,17875,2015-08-24
916,491300,17875,2015-08-24
917,832300,17875,2015-08-24
918,081300,7000,2015-08-24
919,611300,17875,2015-08-24
920,770602,6e+07,2015-08-19
921,430102,1000,2015-08-24
922,281900,2000,2015-08-24
923,843100,2200,2015-08-21
924,380200,35000,2015-08-25
925,832300,17875,2015-08-25
