,std,sum,mean,timestamp
1400000US36005024502,13.8751215199,509.383178711,127.345794678,2014-02-15
1400000US36005024600,22.1351737732,512.66809082,102.533618164,2014-02-15
1400000US36005024700,14.0137517692,423.37588501,105.843971252,2014-02-15
1400000US36005024800,19.2308523886,742.699707031,106.099958147,2014-02-15
1400000US36005024900,11.8740032648,769.17364502,128.195607503,2014-02-15
1400000US36005025000,10.905032167,460.563934326,92.1127868652,2014-02-15
1400000US36005025100,4.46652793859,660.357910156,132.071582031,2014-02-15
1400000US36005025200,8.84020939598,560.956054688,93.4926757812,2014-02-15
1400000US36005025300,9.44928414999,609.91003418,121.982006836,2014-02-15
1400000US36005025400,11.0406706355,386.564666748,96.641166687,2014-02-15
1400000US36005025500,10.8117221089,617.753479004,123.550695801,2014-02-15
1400000US36005025600,14.2489391624,641.810180664,106.968363444,2014-02-15
1400000US36005025700,9.99165519218,822.812561035,117.544651576,2014-02-15
1400000US36005026100,10.8367894064,423.561737061,105.890434265,2014-02-15
1400000US36005026300,9.82348588014,652.525024414,108.754170736,2014-02-15
1400000US36005026400,14.2864000646,769.987670898,96.2484588623,2014-02-15
1400000US36005026500,16.0037761047,876.329711914,125.189958845,2014-02-15
1400000US36005026601,15.7480777597,744.255249023,124.042541504,2014-02-15
1400000US36005026602,14.4009616107,985.236755371,109.470750597,2014-02-15
1400000US36005026701,14.3346341156,481.041717529,120.260429382,2014-02-15
1400000US36005026702,19.9020136902,515.467773438,128.866943359,2014-02-15
1400000US36005026900,8.43303234986,983.062561035,109.229173448,2014-02-15
1400000US36005027300,16.6625088401,673.800354004,112.300059001,2014-02-15
1400000US36005027401,14.0439097449,879.966796875,79.9969815341,2014-02-15
1400000US36005027402,26.0248462047,647.624389648,46.2588849749,2014-02-15
1400000US36005027600,36.2266966924,1835.13012695,67.9677824797,2014-02-15
1400000US36005027700,12.7977864259,535.560974121,107.112194824,2014-02-15
1400000US36005027900,16.1318634961,571.996582031,95.3327636719,2014-02-15
1400000US36005028100,8.05673792555,334.326080322,83.5815200806,2014-02-15
1400000US36005028300,16.1906794859,978.405517578,108.711724175,2014-02-15
1400000US36005028400,20.89189515,2067.94921875,129.246826172,2014-02-15
1400000US36005028500,18.6399289626,800.851928711,114.407418387,2014-02-15
1400000US36005028600,17.7824625095,486.158203125,121.539550781,2014-02-15
1400000US36005028700,9.88488969648,463.6484375,115.912109375,2014-02-15
1400000US36005028800,12.1134149847,597.039123535,99.5065205892,2014-02-15
1400000US36005028900,5.72841784583,663.249816895,110.541636149,2014-02-15
1400000US36005029301,24.7989784655,516.937805176,39.764446552,2014-02-15
1400000US36005029302,15.5096506135,812.669372559,90.296596951,2014-02-15
1400000US36005029500,10.919569167,781.669433594,111.667061942,2014-02-15
1400000US36005029600,18.3582845421,1653.14624023,118.081874302,2014-02-15
1400000US36005029700,4.63692990866,613.917236328,102.319539388,2014-02-15
1400000US36005030000,18.0137107342,585.353088379,117.070617676,2014-02-15
1400000US36005030100,18.4381256515,410.243713379,68.3739522298,2014-02-15
1400000US36005030200,28.4177472607,949.382446289,86.3074951172,2014-02-15
1400000US36005030701,20.6364788133,830.448913574,75.4953557795,2014-02-15
1400000US36005030900,29.0888480102,1233.39648438,34.2610134549,2014-02-15
1400000US36005031000,15.7317546286,1133.54638672,103.04967152,2014-02-15
1400000US36005031200,9.29792798659,440.849121094,88.1698242187,2014-02-15
1400000US36005031400,12.6592796335,459.484313965,91.896862793,2014-02-15
1400000US36005031600,11.9631553436,536.530761719,89.4217936198,2014-02-15
1400000US36005031800,8.83182104829,520.958740234,86.8264567057,2014-02-15
1400000US36005031900,37.9114035953,487.593170166,54.1770189073,2014-02-15
1400000US36005032300,19.2762610727,828.878662109,75.3526056463,2014-02-15
1400000US36005032400,15.016706869,733.483398438,122.247233073,2014-02-15
1400000US36005032600,15.6868641377,673.392089844,96.1988699777,2014-02-15
1400000US36005032800,9.01006347905,664.356994629,132.871398926,2014-02-15
1400000US36005033000,7.6232896231,643.224243164,128.644848633,2014-02-15
1400000US36005033201,19.9024215682,450.230285645,112.557571411,2014-02-15
1400000US36005033202,14.0417321691,461.932434082,115.483108521,2014-02-15
1400000US36005033400,24.9330532197,3542.47387695,101.213539342,2014-02-15
1400000US36005033500,21.5613564008,910.639648438,82.7854225852,2014-02-15
1400000US36005033600,9.0018766354,461.362426758,115.340606689,2014-02-15
1400000US36005033700,14.1774200915,708.234375,78.6927083333,2014-02-15
1400000US36005033800,2.94341899201,486.716461182,121.679115295,2014-02-15
1400000US36005034000,1.43520354233,238.173217773,119.086608887,2014-02-15
1400000US36005034200,6.9633866956,449.873657227,112.468414307,2014-02-15
1400000US36005034300,12.2602328165,281.477813721,70.3694534302,2014-02-15
1400000US36005034400,14.4165214281,416.465332031,104.116333008,2014-02-15
1400000US36005034500,10.1413362055,343.863220215,57.3105367025,2014-02-15
1400000US36005034800,14.8440548606,737.75378418,105.39339774,2014-02-15
1400000US36005035000,12.9852516438,403.40411377,100.851028442,2014-02-15
1400000US36005035100,29.5010245452,842.890136719,84.2890136719,2014-02-15
1400000US36005035600,21.7492752831,919.670166016,114.958770752,2014-02-15
1400000US36005035800,11.6817770915,1119.48022461,111.948022461,2014-02-15
1400000US36005035900,11.6532010506,731.087890625,146.217578125,2014-02-15
1400000US36005036000,6.16191492611,487.533813477,97.5067626953,2014-02-15
1400000US36005036100,31.2924301793,485.460571289,121.365142822,2014-02-15
1400000US36005036300,24.1563886061,825.657836914,117.951119559,2014-02-15
1400000US36005036400,7.71990373357,707.469238281,117.911539714,2014-02-15
1400000US36005036501,11.3802940709,478.334350586,119.583587646,2014-02-15
1400000US36005036502,2.90785244206,397.69128418,132.563761393,2014-02-15
1400000US36005036700,2.97649019676,408.995422363,136.331807454,2014-02-15
1400000US36005036800,8.65823462696,472.597503662,118.149375916,2014-02-15
1400000US36005036901,8.23035769829,688.033081055,137.606616211,2014-02-15
1400000US36005036902,7.43673548255,575.864990234,143.966247559,2014-02-15
1400000US36005037000,7.43253705788,459.70111084,114.92527771,2014-02-15
1400000US36005037100,11.7906751092,610.877624512,122.175524902,2014-02-15
