"","LATITUDE","LONGITUDE","cost","date"
"227",41.862628294,-87.615031094,6000,2016-04-19
"228",41.908811977,-87.687035106,2472500,2016-04-20
"229",41.890597496,-87.654467912,1250000,2016-04-20
"230",41.859422684,-87.652083522,1262300,2016-04-20
"231",41.89911359,-87.637121922,60000,2016-04-19
"232",41.923092362,-87.659450698,17875,2016-04-20
"233",41.78595126,-87.595266473,17875,2016-04-20
"234",41.938824839,-87.695131383,250000,2016-04-20
"235",41.675030408,-87.629636906,17875,2016-04-20
"236",41.670861104,-87.621174543,17875,2016-04-20
"237",41.670861104,-87.621174543,17875,2016-04-20
"238",41.884221607,-87.619339059,1e+05,2016-04-20
"239",41.900531849,-87.71906988,17875,2016-04-20
"240",41.884221607,-87.619339059,15000,NA
"241",41.884221607,-87.619339059,1000,2016-04-20
"242",41.884221607,-87.619339059,3000,2016-04-20
"243",41.83334908,-87.676736702,225000,2016-04-21
"244",41.898227167,-87.670874512,17875,2016-04-21
"245",41.911031918,-87.636708174,1e+08,2016-04-21
"246",41.848749828,-87.670686613,31011350,2016-04-22
"247",41.922667876,-87.695406152,1489400,2016-04-22
"248",41.849898483,-87.636175155,2e+05,2016-04-22
"249",41.897000482,-87.631400059,17875,2016-04-22
"250",41.897060548,-87.631401713,17875,2016-04-22
"251",41.883007472,-87.662386803,17875,2016-04-22
"252",41.900907671,-87.624026501,1000,2016-04-22
"253",41.884221607,-87.619339059,38000,2016-04-22
"254",41.876343525,-87.674176419,17875,2016-04-22
"255",41.87615855,-87.624124014,7500,2016-04-22
"256",41.884221607,-87.619339059,2000,2016-04-22
"257",41.862628294,-87.615031094,1000,2016-04-22
"258",41.884221607,-87.619339059,17875,2016-04-22
"259",41.884221607,-87.619339059,1000,2016-04-22
"260",41.884221607,-87.619339059,1000,2016-04-22
"261",41.884221607,-87.619339059,1000,2016-04-22
"262",41.884221607,-87.619339059,17875,2016-04-22
"263",41.884221607,-87.619339059,1000,2016-04-22
"264",41.862628294,-87.615031094,1000,2016-04-22
"265",41.771267205,-87.72237441,10000,2006-03-07
"266",41.943370509,-87.660017896,5000,2006-05-31
"267",41.944507165,-87.665309079,15000,2006-06-23
"268",41.854211096,-87.621393641,20000,2006-08-17
"269",41.896706447,-87.65509788,192000,2006-09-21
"270",42.015497473,-87.703813013,9500,2006-11-03
"271",41.90150276,-87.753159938,18000,2007-02-23
"272",41.824275386,-87.620550015,10500,2007-01-29
